UA,mun,uf,lon_pc,lat_pc,Biomassa_Mg_ha,bio_Mg_ha_10,bio_Mg_ha_5,n_arvores_total,n_arvores_10,n_arvores_5,n_subunidades,n_subparcelas_5,area_ha_10,area_ha_5,dap_medio_10,ht_media_10,flag_subunidades_incompletas,flag_poucas_arvores,flag_biomassa_extrema
GO_40,Cavalcante,Goiás,-47.5199999999,-13.3199999999,26.395002181496263,19.818182025722642,6.576820155773621,129.0,99,30.0,4,6.0,0.4,0.06,15.363658606509581,8.6010101010101,False,False,False
GO_400,Goiás,Goiás,-50.0399999999,-15.8399999999,64.08795796320157,39.56368799644922,24.524269966752357,63.0,37,26.0,1,2.0,0.1,0.02,15.005590639713496,9.708108108108108,True,False,False
GO_401,Goiás,Goiás,-49.8599999999,-15.8399999999,79.73960856343017,69.40414848124566,10.33546008218451,193.0,145,48.0,4,7.0,0.4,0.07,16.966073402455166,12.200689655172413,False,False,False
GO_402,Itaguaru,Goiás,-49.6799999999,-15.8399999999,20.264761776229868,17.405073509066067,2.8596882671638024,44.0,37,7.0,3,2.0,0.3,0.02,22.225459156646263,10.026315789473685,True,False,False
GO_403,Jaraguá,Goiás,-49.4999999999,-15.8399999999,92.42505626972135,85.2012838646578,7.223772405063555,194.0,162,32.0,4,7.0,0.4,0.07,17.0998525458675,11.940123456790124,False,False,False
GO_404,São Francisco de Goiás,Goiás,-49.3199999999,-15.8399999999,96.89765121233192,86.97417982707063,9.923471385261294,156.0,134,22.0,2,4.0,0.2,0.04,16.451519639359006,10.973880597014926,True,False,False
GO_406,Pirenópolis,Goiás,-48.9599999999,-15.8399999999,20.71506963745679,13.107180749272699,7.607888888184091,158.0,108,50.0,4,6.0,0.4,0.06,13.668806017313685,5.897222222222222,False,False,False
GO_407,Corumbá de Goiás,Goiás,-48.7799999999,-15.8399999999,22.860529623629898,13.771888967169067,9.08864065646083,29.0,16,13.0,2,2.0,0.2,0.02,19.61085461678585,11.175,True,False,False
GO_409,Cocalzinho de Goiás,Goiás,-48.4199999999,-15.8399999999,9.980247095514402,5.809752758467825,4.170494337046577,47.0,31,16.0,4,3.0,0.4,0.03,18.32970433607426,4.548387096774194,False,False,False
GO_41,Monte Alegre de Goiás,Goiás,-47.3399999999,-13.3199999999,13.392821435240034,11.702720218507842,1.6901012167321914,91.0,73,18.0,4,8.0,0.4,0.08,16.048082132742937,5.560273972602739,False,False,False
GO_410,Formosa,Goiás,-47.3399999999,-15.8399999999,44.167346199830405,37.14893706371621,7.018409136114196,218.0,164,54.0,4,8.0,0.4,0.08,15.702754273915488,6.8810975609756095,False,False,False
GO_411,Formosa,Goiás,-47.1599999999,-15.8399999999,5.445778965352781,3.878244407929101,1.5675345574236796,55.0,36,19.0,4,7.0,0.4,0.07,15.08364159370631,4.386111111111111,False,False,False
GO_413,Aragarças,Goiás,-52.1999999999,-16.0199999999,87.83949533149499,78.63598249568513,9.203512835809867,325.0,263,62.0,4,8.0,0.4,0.08,16.032790912965865,9.522433460076046,False,False,False
GO_414,Bom Jardim de Goiás,Goiás,-52.0199999999,-16.0199999999,79.04216222614093,74.536772749286,4.505389476854925,108.0,86,22.0,3,6.0,0.3,0.06,19.66032228121781,11.018604651162791,True,False,False
GO_415,Bom Jardim de Goiás,Goiás,-51.8399999999,-16.0199999999,20.855065505556453,10.638433207849225,10.216632297707227,94.0,56,38.0,4,4.0,0.4,0.04,15.002282638818699,7.644642857142857,False,False,False
GO_417,Montes Claros de Goiás,Goiás,-51.4799999999,-16.0199999999,5.496651425856256,3.9512711017813618,1.5453803240748942,15.0,10,5.0,3,3.0,0.3,0.03,17.940343322345445,6.659999999999999,True,False,False
GO_418,Montes Claros de Goiás,Goiás,-51.2999999999,-16.0199999999,9.455410143895811,9.455410143895811,0.0,6.0,6,0.0,3,0.0,0.3,0.0,34.17501003903974,10.033333333333333,True,True,False
GO_419,Fazenda Nova,Goiás,-51.1199999999,-16.0199999999,86.99780415123868,78.57883814489392,8.418966006344753,162.0,134,28.0,3,5.0,0.3,0.05,22.179351593947846,8.628358208955225,True,False,False
GO_42,Monte Alegre de Goiás,Goiás,-47.1599999999,-13.3199999999,16.54055484683539,14.022042278667989,2.5185125681674014,51.0,38,13.0,4,5.0,0.4,0.05,19.931505503189104,7.847368421052631,False,False,False
GO_420,Jussara,Goiás,-50.9399999999,-16.0199999999,20.87677905442021,10.80893261773274,10.06784643668747,28.0,19,9.0,3,1.0,0.3,0.01,19.481550370460496,7.852631578947368,True,False,False
GO_421,Novo Brasil,Goiás,-50.7599999999,-16.0199999999,12.446807486485007,8.788323625910014,3.6584838605749925,18.0,16,2.0,3,1.0,0.3,0.01,22.735811352656054,7.05625,True,False,False
GO_422,Itapirapuã,Goiás,-50.5799999999,-16.0199999999,4.300974148865078,2.9624809017868716,1.3384932470782058,14.0,12,2.0,4,2.0,0.4,0.02,17.7,7.441666666666666,False,False,False
GO_423,Goiás,Goiás,-50.3999999999,-16.0199999999,57.04614310017365,48.159747874021626,8.886395226152027,149.0,107,42.0,4,7.0,0.4,0.07,17.342343484704347,10.628971962616822,False,False,False
GO_424,Goiás,Goiás,-50.2199999999,-16.0199999999,41.35387486464379,25.58938666305049,15.7644882015933,112.0,57,55.0,4,7.0,0.4,0.07,18.350174465990065,9.34561403508772,False,False,False
